,_amlo,_anaya,_bronco,_margarita,_meade,coordinates,country_code,created_at,id,place,text
0,1,0,0,0,0,"[-58.715083499999992, -34.485839499999997]",AR,2015-12-16 17:36:09,677180426809647104,"Los Polvorines, Argentina",peje tiene la misma importancia que taylor y tpr
1,1,0,0,0,0,"[-87.031664500000005, 21.048718999999998]",MX,2015-12-16 17:56:18,677185496288768000,"Benito Juárez, Quintana Roo",Chofer del Peje  #EmpleosPedorros
2,1,0,0,0,0,"[-94.390912499999999, 17.706791000000003]",MX,2015-12-16 18:04:36,677187586935296000,"Minatitlán, Veracruz de Ignacio de la Llave",#Recordamos Zafarrancho previo a la llegada de @lopezobrador_ en #PasoDelMacho https://t.co/mZg3Z77ngi #Xalapa #Veracruz
3,1,0,0,0,0,"[-99.182126000000011, 19.4857835]",MX,2015-12-16 18:11:58,677189438611439616,"Azcapotzalco, Distrito Federal",Jajajajajajaja ¡¡¡ES EL ETERNO CANDIDATO PERDEDOR A LA PRESIDENCIA!!! @RicardoAlemanMx @lopezobrador_ @lopezdoriga  https://t.co/XMMv9Ovxqk
4,1,0,0,0,0,"[-96.144291500000008, 19.804371]",MX,2015-12-16 18:17:49,677190910568886273,"Veracruz de Ignacio de la Llave, México",Diputados de Morena donarán bono de fin de año para universidades: AMLO https://t.co/V4HSmirV9s https://t.co/nAJJH4nD8P
5,1,0,0,0,0,"[-117.851089, 33.842863000000001]",US,2015-12-16 18:24:24,677192568694636545,"Anaheim, CA",Todo lo que sea violar leyes y frenar el desarrollo del País lo hace el peje López https://t.co/HGxpTFxnLg
6,0,1,0,0,0,"[-103.34831799999999, 20.592133]",MX,2015-12-16 18:39:07,677196269664636928,"Tlaquepaque, Jalisco",Se me hace taan extraño y raro que @RicardoAnayaC tenga snap 😐
7,0,0,0,1,0,"[-101.26996150000001, 20.396823999999999]",MX,2015-12-16 18:48:28,677198626586648577,"Valle de Santiago, Guanajuato","@TuiteraMx @Mzavalagc @DeniseDresserG @AristeguiOnline Ninguna de las anteriores, creo que la Dra Dresser es una mujer Educada e Inteligente"
8,0,0,1,0,0,"[-100.29359149999999, 25.6417185]",MX,2015-12-16 18:58:51,677201237926801408,"Monterrey, Nuevo León",@JaimeRdzNL    como le va padrino .Ayer lo vi en #lienzocharro #elHuajuco  Que bien me hubiera gustado saludarlo pero Había muchos guaruras😁
9,0,0,1,0,0,"[-103.42817049999999, 20.728076999999999]",MX,2015-12-16 19:04:50,677202744860545024,"Residencial Poniente, Zapopan",@JaimeRdzNL @elidagzzdeleon1 YA HICE MI DONACIÓN https://t.co/13c8dEIRFw
10,0,0,0,1,0,"[-101.26996150000001, 20.396823999999999]",MX,2015-12-16 19:23:34,677207457949614080,"Valle de Santiago, Guanajuato",@Iruel000 @claudialuciosol @AlfredoJalifeR_ Lo que dijo es que su amistad con @Mzavalagc trasciende sus diferencias políticas ¡Nada Más!
11,1,0,0,0,0,"[-99.417503499999995, 19.259087999999998]",MX,2015-12-16 19:30:14,677209133490110465,"Ocoyoacac, México",ANDRES MANUEL ES LA ÚNICA OPOSICIÓN REAL DEL SISTEMA DE GOBIERNO MEXICANO CORRUPTO
12,0,0,0,0,1,"[-99.417503499999995, 19.259087999999998]",MX,2015-12-16 19:31:26,677209437862420480,"Ocoyoacac, México","Osorio Chong, Beltrones, Peña-Aurelio Nuño y el representante de los intereses extranjeros en México, Meade Kuribreña, son barajas para 2018"
13,0,0,0,1,0,"[-99.417503499999995, 19.259087999999998]",MX,2015-12-16 19:32:22,677209671011164160,"Ocoyoacac, México","Margarita Zavala por el PAN y candidato independiente José Ramón de la Fuente (avalado por derecha empresarial), representan figuras 2018"
14,0,0,0,1,0,"[-101.3403935, 20.673542000000001]",MX,2015-12-16 19:33:49,677210035777220610,"Irapuato, Guanajuato",@claudialuciosol @Iruel000 @AlfredoJalifeR_ @Mzavalagc ¡Si no fueran trágicos serían cómicos!
15,1,0,0,0,0,"[-111.498181, 28.969862500000001]",MX,2015-12-16 19:50:21,677214198804299776,"Hermosillo, Sonora","Debemos tener mucho cuidado con políticos populistas como AMLO, lro. supeditan la economía a la política y mandan al diablo instituciones"
16,0,0,0,0,1,"[-103.48477450000001, 20.790657000000003]",MX,2015-12-16 19:53:47,677215061845250048,"Zapopan, Jalisco",@SEDESOL_mx @JoseAMeadeK Depende de la magnitud; para mejorar deberían aplicar EL VALOR ACCESIBILIDAD en los productos.
17,0,0,0,0,1,"[-101.27576999999999, 19.652723999999999]",MX,2015-12-16 20:06:21,677218223813603328,"Morelia, Michoacán de Ocampo",@SEDESOL_mx @JoseAMeadeK Esperemos por lo tanto que la pensión a adultos mayores aumente... y los pagos sean puntuales y constantes. 😌🤔🙋🏼
18,0,1,0,0,0,"[-103.65673849999999, 19.100341999999998]",MX,2015-12-16 20:42:11,677227244322840576,"Colima, México",@GustavoMadero indica que trabaja muy bien con @RicardoAnayaC y apoyan a Jorge Luis Preciado para que sea el primer gobernador panista
19,1,0,0,0,0,"[-87.031664500000005, 21.048718999999998]",MX,2015-12-16 20:44:49,677227906779783168,"Benito Juárez, Quintana Roo",@jrisco @VelascoM_ le llevaron un detallito como Amlo. https://t.co/9bUyUFN0je
20,1,0,0,0,0,"[80.764654000000007, 7.8786605000000005]",LK,2015-12-16 20:45:39,677228113596559360,Sri Lanka,@griego_tragico Pregúntale al Peje si no. xD
21,1,0,0,0,0,"[-99.164282499999999, 19.543933000000003]",MX,2015-12-16 21:13:14,677235055035473920,"Tlalnepantla de Baz, México",#LoTeniaQueDecir ... El rata amlo a vivido del erario toda su perra vida... https://t.co/BFdiaE0Bxv
22,1,0,0,0,0,"[-99.164282499999999, 19.543933000000003]",MX,2015-12-16 21:33:27,677240145704181761,"Tlalnepantla de Baz, México",#CuentaLaLeyendaQue ... hubo alguien que le saco a la rata amlo todos sus trapos al sol... https://t.co/WJ6aBLzDWK
23,1,0,0,0,0,"[-103.00394800000001, 22.711577000000002]",MX,2015-12-16 21:49:49,677244262203920386,"Jerez, Zacatecas",@fernandeznorona @lopezobrador_ @LuisTizoc Bien definidos|
24,1,0,0,0,0,"[-99.017016500000011, 19.432721999999998]",MX,2015-12-16 21:58:33,677246458731479041,"Nezahualcóyotl, México","Dice @lopezobrador_ q única encuesta válida la realizará @revistaproceso y @lajornadaonline, coordinados por  @AristeguiOnline @EvodiaDi"
25,0,0,0,0,1,"[-99.724181499999986, 17.391657500000001]",MX,2015-12-16 22:14:16,677250415365263360,"Chilpancingo de los Bravo, Guerrero",Supervisé y atendí en #Chilapa La Entrega de TVs del Programa #TDTmx @JoseAMeadeK @VRubioMarquez @HectorAstudillo https://t.co/UTKpwqGtun
26,0,0,1,0,0,"[-100.29359149999999, 25.6417185]",MX,2015-12-16 22:14:54,677250576325869568,"Monterrey, Nuevo León","@garza_myriam @JaimeRdzNL @GAMEZMARIO antes de la elección y durante el proceso no salió nada, https://t.co/OjXAjNjGii"
27,1,0,0,0,0,"[-4.4240310000000003, 36.764877999999996]",ES,2015-12-16 22:25:02,677253124864786432,"Malaga, Andalusia",AMLO: Diputados de Morena donarán bono de fin de año  https://t.co/MiAHgIAqDR
28,0,1,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-16 22:31:45,677254815450198016,"Benito Juárez, Distrito Federal",@JLozanoA @AccionNacional @RicardoAnayaC @JuanPabloAdame @eLiasLixa @mmarthamarquez @juanpablolh @RenanBarrera Gran Gusto coincidir Senador!
29,0,1,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-16 22:35:44,677255818438295552,"Benito Juárez, Distrito Federal",@JLozanoA @AccionNacional @RicardoAnayaC @JuanPabloAdame @eLiasLixa @juanpablolh @RenanBarrera @gueronieves un gusto!
30,0,1,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-16 22:38:55,677256620850614275,"Benito Juárez, Distrito Federal",@el_lonje_moco @JLozanoA @AccionNacional @RicardoAnayaC @JuanPabloAdame abrazos
31,1,0,0,0,0,"[-99.248009500000009, 19.318041999999998]",MX,2015-12-16 22:46:27,677258516097204224,"Álvaro Obregón, Distrito Federal","@lopezobrador_ Coincido con muchos de sus ideales, pero no creo que sea la mejor opción, que sea candidato a la presidencia."
32,1,0,0,0,0,"[80.764654000000007, 7.8786605000000005]",LK,2015-12-16 22:56:53,677261141513342976,Sri Lanka,@lleimz Lo mejor de los tuits de @lopezobrador_ son las mentadas de madre de las respuestas.
33,0,0,0,0,1,"[-99.153366000000005, 19.432836000000002]",MX,2015-12-16 23:21:40,677267377772367872,"Cuauhtémoc, Distrito Federal","La estrategia pa democratizar la productividad está tan bien hecha q el gob, en vez de hacer mejores reglas, vende esferas! @JoseAMeadeK"
34,0,0,1,0,0,"[-100.29359149999999, 25.6417185]",MX,2015-12-16 23:47:50,677273961198170113,"Monterrey, Nuevo León","Para ir considerándose, no? @JaimeRdzNL  https://t.co/oNa86nJl0Z"
35,0,0,1,0,0,"[-100.196134, 25.676603499999999]",MX,2015-12-17 00:49:50,677289564013137921,"Guadalupe, Nuevo León",¿Como es eso que con @JaimeRdzNL las parejas de gays y lesbianas no tienen permitido registrar a sus hijos?
36,1,0,0,0,0,"[-109.84179, 27.713652500000002]",MX,2015-12-17 01:30:30,677299798106443776,"Cajeme, Sonora","@lopezobrador_  que paso, ustedes no manipulan gente para redes sociales https://t.co/xnzcKTqmxY"
37,1,0,0,0,0,"[-100.955511, 22.3111195]",MX,2015-12-17 01:53:42,677305639429779456,"San Luis Potosí, México",Denuncia AMLO: reforma política del DF es una trampa para detener a Morena https://t.co/0OlqSVHTqH
38,1,0,0,0,0,"[-111.498181, 28.969862500000001]",MX,2015-12-17 02:00:05,677307242438234112,"Hermosillo, Sonora","@angieeus jejeje, trump, el peje gringo.!!"
39,1,0,0,0,0,"[-103.335882, 20.676651999999997]",MX,2015-12-17 02:05:32,677308616131543040,"Guadalajara, Jalisco",@AristeguiOnline Estas contenta Aristegui otro de tus idolos contlapache de AMLO recupera el botin el zangano A.Anaya.
40,0,0,1,0,0,"[-100.3652735, 25.807314499999997]",MX,2015-12-17 02:33:17,677315598670364672,"General Escobedo, Nuevo León","@JaimeRdzNL bronco ya no seas carmelita salinas, ya no seaa Miguel Herrera, que opinas de todo y nada sabes y eso que no tienes los medios"
41,0,0,1,0,0,"[-100.3652735, 25.807314499999997]",MX,2015-12-17 02:34:46,677315973204959232,"General Escobedo, Nuevo León","@JaimeRdzNL encima que ya tienes hasta la madre a la gente que voto en contra de Medina no por ti, ponte a jalar wey!"
42,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:40:12,677317341986742272,"Tampico, Tamaulipas",@JaimeRdzNL hola sr gobernadoresparamipoderledesearunafeliznavidaduncumpleaños28 de dicunprosperoaño2016paraUD SUSCOLABORADORES AN.L.YELPAIS
43,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:42:00,677317792069062656,"Tampico, Tamaulipas",@JaimeRdzNL  SOY EL CP Y MA CARLOS FGERARDO ARCE ONDARZA  QUE DEVIDO A MIS PROYECTOS DE ENERGIAS LIMPIAS SUSTENTABLES Y DE SALUD
44,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:45:17,677318618342817793,"Tampico, Tamaulipas",@JaimeRdzNL 8112119597 83726578 PORFILIO DIAS 126 NTE. CENTRO DE MTY. ES NECESARIO LA PRECENCIA DE AGENTES DEL M.P.  EN MI CASA PARA DECLAR
45,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:47:29,677319174767546369,"Tampico, Tamaulipas",@JaimeRdzNL DECLARAR EX FUNCIONARIOS DEL GOBIERNO ANTERIOR CORUPCION Y EMPRESARIOS LAVA DINERO MONOPOLIOS MUY FUERTES EN INDUSTRIA DELESTADO
46,0,0,1,0,0,"[-100.1687175, 25.778679]",MX,2015-12-17 02:50:11,677319853670141952,"Apodaca, Nuevo León",@JaimeRdzNL @COM_Mexico @INDEPORTENL @gpesqueira esperamos que todo se logre es una noticia diferente pero importante primero el deporte
47,0,0,1,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-17 03:27:34,677329259958951936,"Benito Juárez, Distrito Federal",@JaimeRdzNL @revistaproceso ¿y los derechos del niño? Nos encontramos ante una presunta violación de DDHH https://t.co/DCAprkgwdd
48,0,1,0,0,0,"[-102.5580375, 23.625418499999999]",MX,2015-12-17 03:37:23,677331729598668800,México,@FranciscoLpez3 @PRDmexico @abasave @CENPAN @diputadospan @RicardoAnayaC @diputadosdelPRD etc no entienden q prioridad es Mx y su mejora
49,0,0,0,1,0,"[6.1358044999999999, 49.607906]",LU,2015-12-17 03:51:50,677335365779333120,Luxemburgo,Luis... @Luis_Kanelo  es el tipo de seguidores de @Mzavalagc @LaHesmuda no se puede esperar mucho de el.. stalker! https://t.co/N9N3jeCDem
50,0,0,0,0,1,"[-99.64994999999999, 19.270806499999999]",MX,2015-12-17 04:00:48,677337623308984321,"Toluca, México","Al fin en casa (@ House Meade in Toluca, México) https://t.co/e6cKvcaY6L"
51,0,1,0,0,0,"[19.505569000000001, 47.161178500000005]",HU,2015-12-17 04:12:13,677340496688230401,Hungría,"@RicardoAnayaC @PEPE_BAEZ @JL_Preciado_ @AccionNacional @AccionJuvenil ahora en Colima?, si te la vives en Atlanta Ricardo... descaradao."
52,1,0,0,0,0,"[-118.1565195, 34.1121555]",US,2015-12-17 04:45:29,677348869055709185,"South Pasadena, CA",@SanCadilla porro de @lopezobrador_
53,1,0,0,0,0,"[-99.153366000000005, 19.432836000000002]",MX,2015-12-17 04:47:52,677349467561984000,"Cuauhtémoc, Distrito Federal",Como cuando AMLO te echa la luz alta 😂😂😂 https://t.co/9NfZg6cTVD
54,0,0,1,0,0,"[-100.27047400000001, 25.736714999999997]",MX,2015-12-17 04:57:30,677351891055972352,"San Nicolás de los Garza, Nuevo León",@SoyBenvenutti @GAMEZMARIO @samuel_garcias @JaimeRdzNL #noalauditorpriista basta de corrupcion. #porlagrandezadenuevoleon.
55,1,0,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-17 05:03:03,677353288912658432,"Benito Juárez, Distrito Federal","@EPN regala las teles, @lopezobrador_ regala la luz, ya sólo falta quién regale las chelas y la botana. @MaguMonero"
